Product Name,SKU,Category,Cost Price,Selling Price,Stock,Reorder Level,Unit,Active,Description,Barcode
GUIDE CHAIN SLACK SIDE (2021),RA511001,BAJAJ,0,0,0,0,pcs,yes,GUIDE CHAIN SLACK SIDE (2021),RA511001
GUIDE CHAIN TIGHT SIDE (2021),RA511002,BAJAJ,0,0,104,0,pcs,yes,GUIDE CHAIN TIGHT SIDE (2021),RA511002
BEARINH NEEDLE (SL 3520),59200012-BAJAJ-BEARINH-NEEDLE-SL-35,BAJAJ,0,0,180,0,pcs,yes,BEARINH NEEDLE (SL 3520),59200012-BAJAJ-BEARINH-NEEDLE-SL-35
REAR & COVER,AA111079,BAJAJ,0,0,74,0,pcs,yes,REAR & COVER,AA111079
CRANKCASE CLUTCH SIDE,AN101127,BAJAJ,0,0,8,0,pcs,yes,CRANKCASE CLUTCH SIDE,AN101127
KIT CONNECTING ROD,36AA4132-MB-KIT-CONNECTING-ROD,MB,0,0,90,0,pcs,yes,KIT CONNECTING ROD,36AA4132-MB-KIT-CONNECTING-ROD
PLUG SPARK WITH SOLID POST-FMG (RG6HCC),AA111153,CHAMPION,0,0,400,0,pcs,yes,PLUG SPARK WITH SOLID POST-FMG (RG6HCC),AA111153
BEARING NEEDDLE SL-3520,59200012-PABLA-BEARING-NEEDDLE-SL-3,PABLA,0,0,310,0,pcs,yes,BEARING NEEDDLE SL-3520,59200012-PABLA-BEARING-NEEDDLE-SL-3
BEARING BALL 28,39193120,PABLA,0,0,550,0,pcs,yes,BEARING BALL 28,39193120
KIT SHOE BRAKE,24151171,AERO,0,0,200,0,pcs,yes,KIT SHOE BRAKE,24151171
BELLOW PROPELLER,24171076,HARI,0,0,750,0,pcs,yes,BELLOW PROPELLER,24171076
INSULATOR,AA101594,GKI,0,0,322,0,pcs,yes,INSULATOR,AA101594
GASKET KIT BS4 GKI,GKI-GKI-GASKET-KIT-BS4-GKI,GKI,0,0,725,0,pcs,yes,GASKET KIT BS4 GKI,GKI-GKI-GASKET-KIT-BS4-GKI
GASKET KIT BS6,GKI-GKI-GASKET-KIT-BS6,GKI,0,0,250,0,pcs,yes,GASKET KIT BS6,GKI-GKI-GASKET-KIT-BS6
ASSEMBLY TRAILING ARM LH FL,24171179,SE,0,0,96,0,pcs,yes,ASSEMBLY TRAILING ARM LH FL,24171179
ASSLY TRAILING ARM RH FL,24171180,SE,0,0,95,0,pcs,yes,ASSLY TRAILING ARM RH FL,24171180
GUIDE CHAIN SLACK/TIGHT SIDE (SET),RA511001/RA511002,LOCAL,0,0,500,0,pcs,yes,GUIDE CHAIN SLACK/TIGHT SIDE (SET),RA511001/RA511002
CYL ASSY WHEEL COMP R,24151164,NJ,0,0,0,0,pcs,yes,CYL ASSY WHEEL COMP R,24151164
PISTON & RINGS +1 (COMPACT),HF-HF-PISTON-RINGS-1-COMPA,HF,0,0,359,0,pcs,yes,PISTON & RINGS +1 (COMPACT),HF-HF-PISTON-RINGS-1-COMPA
PISTON & RINGS STD (COMPACT),HF-HF-PISTON-RINGS-STD-COM,HF,0,0,200,0,pcs,yes,PISTON & RINGS STD (COMPACT),HF-HF-PISTON-RINGS-STD-COM
FLANGE WHEEL SIDE,AY141202,LOCAL,0,0,380,0,pcs,yes,FLANGE WHEEL SIDE,AY141202
FLANGE S.G. HSG. WITH OIL SEAL,36AA4114,LOCAL,0,0,485,0,pcs,yes,FLANGE S.G. HSG. WITH OIL SEAL,36AA4114
FLANGE DIFF. GEAR WITH OIL SEAL,36AA4115,LOCAL,0,0,465,0,pcs,yes,FLANGE DIFF. GEAR WITH OIL SEAL,36AA4115
SEAL OIL MAG SIDE (22X35X7) 2 PCS PACKING,AP101268,LOCAL,0,0,584,0,pcs,yes,SEAL OIL MAG SIDE (22X35X7) 2 PCS PACKING,AP101268
SEAL OIL (35X50X8/12),BF551613,LOCAL,0,0,565,0,pcs,yes,SEAL OIL (35X50X8/12),BF551613
